Room Name,Address
Ruhig und grün gelegen!,"Germersheimer Weg 88, 13583 Berlin-Falkenhagener Feld"
Rollstuhlgerechte Wohnung.,"Blumberger Damm 10, 12683 Berlin-Biesdorf"
Preiswerte und günstig geschnittene 2-Zimmer-Wohnung,"Straße der Pariser Kommune 11, 10243 Berlin-Friedrichshain"
Preiswerte 2-Zimmer-Wohnung,"Fritz-Reuter-Allee 52, 12359 Berlin-Britz"
Neu verfliestes Duschbad,"Oldesloer Weg 22A, 13591 Berlin-Staaken"
Nachmieter gesucht!,"Gernotstr. 1, 10365 Berlin-Lichtenberg"
Nachmieter gesucht!,"Götelstr. 63, 13595 Berlin-Wilhelmstadt"
Nachmieter gesucht!,"Betckestr. 8B, 13595 Berlin-Wilhelmstadt"
Nachmieter gesucht!,"Burbacher Weg 9, 13583 Berlin-Falkenhagener Feld"
Nachmieter gesucht!,"Burbacher Weg 5, 13583 Berlin-Falkenhagener Feld"
